scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,swap_free_delta_kb_mean,swap_free_delta_kb_median,swap_free_delta_kb_min,swap_free_delta_kb_max,swap_cached_delta_kb_mean,swap_cached_delta_kb_median,swap_cached_delta_kb_min,swap_cached_delta_kb_max,mem_available_delta_kb_mean,mem_available_delta_kb_median,mem_available_delta_kb_min,mem_available_delta_kb_max,cached_delta_kb_mean,cached_delta_kb_median,cached_delta_kb_min,cached_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
rpp-first-token-gpu-topk2,60,20,2.9114587704340615,2.7115533351898193,1.5425705909729004,5.082541465759277,5.932579938570658,5.837093710899353,4.372370004653931,7.701249122619629,5.312513675851927,5.448740567202837,1.9408500860975788,7.318685281881302,88135.28333333334,59671.5,15801.0,352104.0,180689.73333333334,184583.5,104766.0,250797.0,1412795.0666666667,1096038.0,-388904.0,4460924.0,-9168.733333333334,3652.0,-451888.0,315040.0,5743.6,6644.0,-14212.0,20620.0,-58051.46666666667,-73052.0,-473696.0,377908.0,378520.93333333335,348814.0,-976548.0,2426536.0,31.0,32.0,12.0,32.0
rpp-first-token-gpu-topk4,60,20,2.983650569121043,2.7558454275131226,1.6264433860778809,7.421497821807861,6.029447921117147,5.837632179260254,4.238457918167114,10.006806135177612,5.2948396635273145,5.352015663305397,1.8886484387978053,7.549915704681134,73775.6,52843.5,13620.0,260245.0,178351.5,174595.0,100125.0,292354.0,1552136.2666666666,1062626.0,-893748.0,4714572.0,7412.266666666666,37106.0,-344324.0,292644.0,6980.4,8626.0,-11296.0,25448.0,-112004.2,-141726.0,-391564.0,335804.0,290459.6666666667,303142.0,-509916.0,1010740.0,31.0,32.0,12.0,32.0
rpp-first-token-gpu-topk8,60,20,2.990593953927358,2.7415080070495605,1.5089621543884277,6.908125400543213,5.8281156818072,5.6817415952682495,4.422365427017212,9.531204462051392,5.489300579515333,5.619462442964432,1.8325328780149786,7.235946582908978,105537.93333333333,72763.5,9912.0,275955.0,154872.75,159113.5,90226.0,237965.0,2634310.6,3290048.0,-666856.0,4400840.0,-75105.8,-18356.0,-642328.0,317748.0,4403.133333333333,4654.0,-23376.0,28404.0,-19315.133333333335,-57578.0,-485104.0,573792.0,237899.0,228200.0,-589528.0,1207516.0,31.0,32.0,12.0,32.0
two-step-no-rpp-gpu,60,20,3.0565252621968586,2.7445298433303833,1.4878711700439453,6.739701271057129,4.99057959318161,4.74606728553772,3.152876853942871,8.220625400543213,6.4238903922113515,6.566919321115067,2.482038627403117,10.149460788480205,122608.36666666667,87196.0,10481.0,397616.0,169013.58333333334,157161.0,94073.0,249106.0,1978756.8,1786162.0,-262384.0,4407272.0,-96529.4,-94584.0,-356844.0,161716.0,5769.266666666666,4038.0,-73308.0,76348.0,73405.26666666666,51312.0,-270272.0,439124.0,533066.6666666666,569074.0,-213272.0,1635584.0,31.0,32.0,12.0,32.0
