scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,swap_free_delta_kb_mean,swap_free_delta_kb_median,swap_free_delta_kb_min,swap_free_delta_kb_max,swap_cached_delta_kb_mean,swap_cached_delta_kb_median,swap_cached_delta_kb_min,swap_cached_delta_kb_max,mem_available_delta_kb_mean,mem_available_delta_kb_median,mem_available_delta_kb_min,mem_available_delta_kb_max,cached_delta_kb_mean,cached_delta_kb_median,cached_delta_kb_min,cached_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
rpp-first-token-cpu,1,1,3.802889585494995,3.802889585494995,3.802889585494995,3.802889585494995,14.533714532852173,14.533714532852173,14.533714532852173,14.533714532852173,2.2017771112585733,2.2017771112585733,2.2017771112585733,2.2017771112585733,200383.0,200383.0,200383.0,200383.0,530244.0,530244.0,530244.0,530244.0,-65316.0,-65316.0,-65316.0,-65316.0,-1284.0,-1284.0,-1284.0,-1284.0,4216.0,4216.0,4216.0,4216.0,19540.0,19540.0,19540.0,19540.0,136728.0,136728.0,136728.0,136728.0,32.0,32.0,32.0,32.0
rpp-first-token-gpu,1,1,2.2840638160705566,2.2840638160705566,2.2840638160705566,2.2840638160705566,5.632495641708374,5.632495641708374,5.632495641708374,5.632495641708374,5.681318199883095,5.681318199883095,5.681318199883095,5.681318199883095,116703.0,116703.0,116703.0,116703.0,183745.0,183745.0,183745.0,183745.0,657676.0,657676.0,657676.0,657676.0,21940.0,21940.0,21940.0,21940.0,-420.0,-420.0,-420.0,-420.0,-69712.0,-69712.0,-69712.0,-69712.0,378176.0,378176.0,378176.0,378176.0,32.0,32.0,32.0,32.0
