scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,swap_free_delta_kb_mean,swap_free_delta_kb_median,swap_free_delta_kb_min,swap_free_delta_kb_max,swap_cached_delta_kb_mean,swap_cached_delta_kb_median,swap_cached_delta_kb_min,swap_cached_delta_kb_max,mem_available_delta_kb_mean,mem_available_delta_kb_median,mem_available_delta_kb_min,mem_available_delta_kb_max,cached_delta_kb_mean,cached_delta_kb_median,cached_delta_kb_min,cached_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
baseline-gpu-ncpu-moe-32,1,1,2.25840425491333,2.25840425491333,2.25840425491333,2.25840425491333,4.169097423553467,4.169097423553467,4.169097423553467,4.169097423553467,7.6755222411486095,7.6755222411486095,7.6755222411486095,7.6755222411486095,113897.0,113897.0,113897.0,113897.0,185571.0,185571.0,185571.0,185571.0,1132628.0,1132628.0,1132628.0,1132628.0,-70960.0,-70960.0,-70960.0,-70960.0,-228.0,-228.0,-228.0,-228.0,191948.0,191948.0,191948.0,191948.0,1126948.0,1126948.0,1126948.0,1126948.0,32.0,32.0,32.0,32.0
baseline-gpu-ncpu-moe-36,1,1,2.3373818397521973,2.3373818397521973,2.3373818397521973,2.3373818397521973,4.368135452270508,4.368135452270508,4.368135452270508,4.368135452270508,7.325780152574426,7.325780152574426,7.325780152574426,7.325780152574426,135663.0,135663.0,135663.0,135663.0,182297.0,182297.0,182297.0,182297.0,239932.0,239932.0,239932.0,239932.0,-113128.0,-113128.0,-113128.0,-113128.0,-4516.0,-4516.0,-4516.0,-4516.0,48792.0,48792.0,48792.0,48792.0,1004376.0,1004376.0,1004376.0,1004376.0,32.0,32.0,32.0,32.0
baseline-gpu-ncpu-moe-40,1,1,2.4079430103302,2.4079430103302,2.4079430103302,2.4079430103302,4.586235523223877,4.586235523223877,4.586235523223877,4.586235523223877,6.97740005674757,6.97740005674757,6.97740005674757,6.97740005674757,163123.0,163123.0,163123.0,163123.0,184389.0,184389.0,184389.0,184389.0,1154380.0,1154380.0,1154380.0,1154380.0,-115312.0,-115312.0,-115312.0,-115312.0,-4840.0,-4840.0,-4840.0,-4840.0,345932.0,345932.0,345932.0,345932.0,1978168.0,1978168.0,1978168.0,1978168.0,32.0,32.0,32.0,32.0
