scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
baseline-cpu-cold,60,20,5.385361421108246,4.876380085945129,3.3128538131713867,14.595832586288452,32.3934875925382,32.54097390174866,14.92197299003601,47.03473949432373,0.96151776584875,0.9729743284643142,0.6513481027794429,1.141870990266223,624187.3833333333,635720.5,287726.0,681363.0,1807404.0833333333,1859371.0,905488.0,1979539.0,-1308.1333333333334,-2842.0,-211352.0,219144.0,31.0,32.0,12.0,32.0
baseline-cpu-warm,60,20,5.471950602531433,4.708945393562317,3.5087907314300537,10.386301279067993,32.3979599793752,32.418036222457886,14.032446146011353,41.53010129928589,0.9588902436063054,0.9717563336639103,0.7290788314539659,1.0902127583532002,625712.5166666667,638792.5,284984.0,676517.0,1829695.9666666666,1858616.5,896739.0,1960085.0,755.7333333333333,-8744.0,-212440.0,199488.0,31.0,32.0,12.0,32.0
