scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,swap_free_delta_kb_mean,swap_free_delta_kb_median,swap_free_delta_kb_min,swap_free_delta_kb_max,swap_cached_delta_kb_mean,swap_cached_delta_kb_median,swap_cached_delta_kb_min,swap_cached_delta_kb_max,mem_available_delta_kb_mean,mem_available_delta_kb_median,mem_available_delta_kb_min,mem_available_delta_kb_max,cached_delta_kb_mean,cached_delta_kb_median,cached_delta_kb_min,cached_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
baseline-gpu-cpu-moe,1,1,2.195253849029541,2.195253849029541,2.195253849029541,2.195253849029541,4.140877723693848,4.140877723693848,4.140877723693848,4.140877723693848,7.727830217467656,7.727830217467656,7.727830217467656,7.727830217467656,107395.0,107395.0,107395.0,107395.0,180473.0,180473.0,180473.0,180473.0,-229140.0,-229140.0,-229140.0,-229140.0,-68648.0,-68648.0,-68648.0,-68648.0,-8220.0,-8220.0,-8220.0,-8220.0,83492.0,83492.0,83492.0,83492.0,716616.0,716616.0,716616.0,716616.0,32.0,32.0,32.0,32.0
baseline-gpu-ngl10,1,1,2.585299015045166,2.585299015045166,2.585299015045166,2.585299015045166,5.731664657592773,5.731664657592773,5.731664657592773,5.731664657592773,5.583020276248959,5.583020276248959,5.583020276248959,5.583020276248959,151425.0,151425.0,151425.0,151425.0,178155.0,178155.0,178155.0,178155.0,219900.0,219900.0,219900.0,219900.0,-6820.0,-6820.0,-6820.0,-6820.0,70828.0,70828.0,70828.0,70828.0,-58144.0,-58144.0,-58144.0,-58144.0,-349672.0,-349672.0,-349672.0,-349672.0,32.0,32.0,32.0,32.0
baseline-gpu-ngl5,1,1,2.521223306655884,2.521223306655884,2.521223306655884,2.521223306655884,5.549932241439819,5.549932241439819,5.549932241439819,5.549932241439819,5.765836159415567,5.765836159415567,5.765836159415567,5.765836159415567,120536.0,120536.0,120536.0,120536.0,181243.0,181243.0,181243.0,181243.0,72852.0,72852.0,72852.0,72852.0,78788.0,78788.0,78788.0,78788.0,4412.0,4412.0,4412.0,4412.0,75748.0,75748.0,75748.0,75748.0,1037432.0,1037432.0,1037432.0,1037432.0,32.0,32.0,32.0,32.0
