scenario,requests,unique_prompts,ttft_s_mean,total_s_mean,tokens_per_s_mean,first_token_total_s_mean,continuation_total_s_mean,tokenize_s_mean,rpp_forward_s_mean,prefetch_s_mean,prefetch_bytes_mean,predicted_slots_mean,prefetch_slots_found_mean,major_faults_mean,first_token_major_faults_mean,continuation_major_faults_mean,minor_faults_mean,first_token_minor_faults_mean,continuation_minor_faults_mean,prefetch_mb_mean
rpp-first-token-gpu-topk2,60,20,2.9114587704340615,5.932579938570658,5.312513675851927,2.915021824836731,2.020845337708791,0.7984998186429342,0.15654882192611694,0.0416641354560852,121634816.0,64.0,64.0,88135.28333333334,62400.6,25734.65,180689.73333333334,129931.61666666667,50758.11666666667,121.634816
rpp-first-token-gpu-topk4,60,20,2.983650569121043,6.029447921117147,5.2948396635273145,2.987429213523865,1.9840137084325156,0.8072948614756267,0.16721418698628743,0.08349595069885254,243269632.0,128.0,128.0,73775.6,49981.9,23793.65,178351.5,128766.78333333334,49584.71666666667,243.269632
rpp-first-token-gpu-topk8,60,20,2.990593953927358,5.8281156818072,5.489300579515333,2.9936025540033975,1.7516732573509217,0.7869874517122905,0.14743101994196575,0.14842139879862468,486539264.0,256.0,256.0,105537.93333333333,88850.13333333333,16687.616666666665,154872.75,112453.71666666666,42419.03333333333,486.539264
two-step-no-rpp-gpu,60,20,3.0565252621968586,4.99057959318161,6.4238903922113515,3.059972389539083,1.9306072036425272,0.0,0.0,0.0,0.0,0.0,0.0,122608.36666666667,99599.8,23008.566666666666,169013.58333333334,121294.31666666667,47719.26666666667,0.0
