scenario,requests,unique_prompts,ttft_s_mean,ttft_s_median,ttft_s_min,ttft_s_max,total_s_mean,total_s_median,total_s_min,total_s_max,tokens_per_s_mean,tokens_per_s_median,tokens_per_s_min,tokens_per_s_max,major_faults_mean,major_faults_median,major_faults_min,major_faults_max,minor_faults_mean,minor_faults_median,minor_faults_min,minor_faults_max,rss_delta_kb_mean,rss_delta_kb_median,rss_delta_kb_min,rss_delta_kb_max,swap_free_delta_kb_mean,swap_free_delta_kb_median,swap_free_delta_kb_min,swap_free_delta_kb_max,swap_cached_delta_kb_mean,swap_cached_delta_kb_median,swap_cached_delta_kb_min,swap_cached_delta_kb_max,mem_available_delta_kb_mean,mem_available_delta_kb_median,mem_available_delta_kb_min,mem_available_delta_kb_max,cached_delta_kb_mean,cached_delta_kb_median,cached_delta_kb_min,cached_delta_kb_max,stream_chunks_mean,stream_chunks_median,stream_chunks_min,stream_chunks_max
baseline-gpu-cpu-moe,60,20,1.4155560930569966,1.0057498216629028,0.4156334400177002,4.392210245132446,2.8647876421610516,2.6818177700042725,1.6457526683807373,6.681676387786865,12.0414376096242,11.672398474493875,4.029181429708176,19.44399095611671,17782.333333333332,14266.5,7116.0,153016.0,64175.683333333334,61128.5,32074.0,182970.0,21714.933333333334,-29294.0,-309300.0,1126156.0,-15632.666666666666,65458.0,-495440.0,202120.0,-48.733333333333334,1056.0,-16716.0,11236.0,-6865.533333333334,-74558.0,-263356.0,509292.0,15459.2,-37276.0,-373292.0,1452156.0,31.0,32.0,12.0,32.0
baseline-gpu-ngl10,60,20,1.261795417467753,1.0856858491897583,0.6266543865203857,2.4900009632110596,3.105220886071523,3.026491641998291,2.345975875854492,5.1178200244903564,10.178820566082168,10.146871327746306,4.644536891253847,13.640378969517068,10611.616666666667,6931.5,2816.0,133816.0,46362.88333333333,43125.5,21820.0,163416.0,90822.06666666667,4748.0,-249940.0,1674592.0,-21759.666666666668,65220.0,-850616.0,265712.0,-668.4,720.0,-182776.0,168680.0,4631.866666666667,-73494.0,-266900.0,819012.0,2850.6,-84714.0,-398480.0,670396.0,31.0,32.0,12.0,32.0
