cache_mb,demand_experts,hit_experts,miss_experts,hit_rate,demand_payload_mb,miss_payload_mb,saved_payload_mb,cache_end_mb
0,2470275,0,2470275,0.0,1572816.19968,1572816.19968,0.0,0.0
256,2470275,0,2470275,0.0,1572816.19968,1572816.19968,0.0,268.173312
512,2470275,0,2470275,0.0,1572816.19968,1572816.19968,0.0,536.215552
1024,2470275,752679,1717596,0.3046944166135349,1572816.19968,1093658.4192,479157.78048,1073.43872
2048,2470275,1081551,1388724,0.4378261529586787,1572816.19968,884084.228096,688731.971584,2147.057664
4096,2470275,1563088,907187,0.6327587009543472,1572816.19968,577675.01824,995141.18144,4294.656
6144,2470275,1864754,605521,0.7548770885832549,1572816.19968,385793.92512,1187022.27456,6442.303488
