rank,name,layer,family,role,size_gib,size_mib,offset,end,shape,type
42,blk.26.ffn_down_exps.weight,26,moe_expert,expert_down,0.2510986328125,257.125,14454332320,14723947424,704x2816x128,8
43,blk.27.ffn_down_exps.weight,27,moe_expert,expert_down,0.2510986328125,257.125,15044917696,15314532800,704x2816x128,8
44,blk.28.ffn_down_exps.weight,28,moe_expert,expert_down,0.2510986328125,257.125,15635503072,15905118176,704x2816x128,8
45,blk.29.ffn_down_exps.weight,29,moe_expert,expert_down,0.2510986328125,257.125,16232713728,16502328832,704x2816x128,8
46,blk.3.ffn_down_exps.weight,3,moe_expert,expert_down,0.1624755859375,166.375,2416709312,2591166144,704x2816x128,6
47,blk.4.ffn_down_exps.weight,4,moe_expert,expert_down,0.1624755859375,166.375,2908419296,3082876128,704x2816x128,6
48,blk.6.ffn_down_exps.weight,6,moe_expert,expert_down,0.1624755859375,166.375,3998826784,4173283616,704x2816x128,6
49,blk.7.ffn_down_exps.weight,7,moe_expert,expert_down,0.1624755859375,166.375,4490536768,4664993600,704x2816x128,6
50,blk.9.ffn_down_exps.weight,9,moe_expert,expert_down,0.1624755859375,166.375,5572832128,5747288960,704x2816x128,6
51,blk.10.ffn_down_exps.weight,10,moe_expert,expert_down,0.1624755859375,166.375,6064542112,6238998944,704x2816x128,6
52,blk.12.ffn_down_exps.weight,12,moe_expert,expert_down,0.1624755859375,166.375,7153462752,7327919584,704x2816x128,6
53,blk.13.ffn_down_exps.weight,13,moe_expert,expert_down,0.1624755859375,166.375,7646659584,7821116416,704x2816x128,6
54,blk.15.ffn_down_exps.weight,15,moe_expert,expert_down,0.1624755859375,166.375,8727468096,8901924928,704x2816x128,6
55,blk.16.ffn_down_exps.weight,16,moe_expert,expert_down,0.1624755859375,166.375,9220664928,9395121760,704x2816x128,6
56,blk.18.ffn_down_exps.weight,18,moe_expert,expert_down,0.1624755859375,166.375,10309585568,10484042400,704x2816x128,6
57,blk.19.ffn_down_exps.weight,19,moe_expert,expert_down,0.1624755859375,166.375,10801295552,10975752384,704x2816x128,6
58,blk.21.ffn_down_exps.weight,21,moe_expert,expert_down,0.1624755859375,166.375,11883590912,12058047744,704x2816x128,6
59,blk.22.ffn_down_exps.weight,22,moe_expert,expert_down,0.1624755859375,166.375,12375300896,12549757728,704x2816x128,6
60,blk.24.ffn_down_exps.weight,24,moe_expert,expert_down,0.1624755859375,166.375,13465708384,13640165216,704x2816x128,6
61,blk.25.ffn_down_exps.weight,25,moe_expert,expert_down,0.1624755859375,166.375,13958905216,14133362048,704x2816x128,6
62,blk.5.attn_output.weight,5,attention,attn_output,0.0120849609375,12.375,3378197760,3391173888,8192x2816,12
63,blk.5.attn_q.weight,5,attention,attn_q,0.0120849609375,12.375,3391173888,3404150016,2816x8192,12
64,blk.11.attn_output.weight,11,attention,attn_output,0.0120849609375,12.375,6534320576,6547296704,8192x2816,12
65,blk.11.attn_q.weight,11,attention,attn_q,0.0120849609375,12.375,6547296704,6560272832,2816x8192,12
66,blk.17.attn_output.weight,17,attention,attn_output,0.0120849609375,12.375,9690443392,9703419520,8192x2816,12
67,blk.17.attn_q.weight,17,attention,attn_q,0.0120849609375,12.375,9703419520,9716395648,2816x8192,12
68,blk.23.attn_output.weight,23,attention,attn_output,0.0120849609375,12.375,12845079360,12858055488,8192x2816,12
69,blk.23.attn_q.weight,23,attention,attn_q,0.0120849609375,12.375,12858055488,12871031616,2816x8192,12
70,blk.29.attn_output.weight,29,attention,attn_output,0.0120849609375,12.375,16200439808,16213415936,8192x2816,12
71,blk.29.attn_q.weight,29,attention,attn_q,0.0120849609375,12.375,16213415936,16226392064,2816x8192,12
72,blk.0.attn_output.weight,0,attention,attn_output,0.00604248046875,6.1875,624642656,631130720,4096x2816,12
73,blk.0.attn_q.weight,0,attention,attn_q,0.00604248046875,6.1875,631130720,637618784,2816x4096,12
74,blk.1.attn_output.weight,1,attention,attn_output,0.00604248046875,6.1875,1215228032,1221716096,4096x2816,12
75,blk.1.attn_q.weight,1,attention,attn_q,0.00604248046875,6.1875,1221716096,1228204160,2816x4096,12
76,blk.2.attn_output.weight,2,attention,attn_output,0.00604248046875,6.1875,1805813408,1812301472,4096x2816,12
77,blk.2.attn_q.weight,2,attention,attn_q,0.00604248046875,6.1875,1812301472,1818789536,2816x4096,12
78,blk.3.attn_output.weight,3,attention,attn_output,0.00604248046875,6.1875,2396398784,2402886848,4096x2816,12
79,blk.3.attn_q.weight,3,attention,attn_q,0.00604248046875,6.1875,2402886848,2409374912,2816x4096,12
80,blk.4.attn_output.weight,4,attention,attn_output,0.00604248046875,6.1875,2888108768,2894596832,4096x2816,12
