layer,attention_gib,shared_ffn_gib,moe_router_gib,moe_expert_gib,norm_scale_gib,other_gib,total_gib
0,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
1,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
2,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
3,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
4,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
5,0.0256805419921875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.725134491920471e-05,0.0,0.5561957396566868
6,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
7,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
8,0.01812744140625,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5486407317221165
9,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
10,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
11,0.0256805419921875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.725134491920471e-05,0.0,0.5561957396566868
12,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
13,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
14,0.01812744140625,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5486407317221165
15,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
16,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
17,0.0256805419921875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.725134491920471e-05,0.0,0.5561957396566868
18,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
19,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
20,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
21,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
22,0.01812744140625,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45794058218598366
23,0.0256805419921875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.725134491920471e-05,0.0,0.5561957396566868
24,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
25,0.019512176513671875,0.010039329528808594,0.0013532638549804688,0.4283452033996582,7.534399628639221e-05,0.0,0.45932531729340553
26,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
27,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
28,0.019512176513671875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.534399628639221e-05,0.0,0.5500254668295383
29,0.0256805419921875,0.012116432189941406,0.0013532638549804688,0.5169682502746582,7.725134491920471e-05,0.0,0.5561957396566868
