task_type,label,requests,total_s_mean,total_s_std,ttft_s_mean,ttft_s_std,tok_s_mean,tok_s_std,major_faults_mean,major_faults_std,read_gb_mean,read_gb_std,h2d_gb_mean,h2d_gb_std,used_experts_mean,used_experts_std
text_continuation,Text,12.0,7.180738111337026,0.3992990187201037,3.1353681484858194,0.31841267148065105,4.4692224276861205,0.25286193572733623,8574.416666666666,881.2097530031535,6.429183658666666,0.5850823083780594,25.448515584,0.37494150340468024,39966.75,590.6948335338953
code_generation,Code,12.0,7.5845532814661665,0.2852342087773468,3.388363858064016,0.19294158045869575,4.224482055965699,0.15624119418466348,9108.0,609.2637882201466,7.13078784,0.5004311992245152,25.977311231999998,0.41984556471788237,40797.0,660.1363495521209
commonsense,Commonsense,12.0,7.751247823238373,0.7902615051665614,3.4797430634498596,0.696901029690613,4.163772738612742,0.3805906637537555,9208.0,691.8096164802463,6.773528234666666,0.5281959963460862,25.66833152,0.4878646343448213,40311.75,767.7540000191823
math_reasoning,Math,12.0,9.19137555360794,0.3038896084899305,4.968378523985545,0.3033496461151244,3.4850518228881606,0.11647476743571751,12362.5,452.72939941085014,9.717636437333333,0.7245514788255317,28.325154816,0.34624474296302943,44490.75,544.4335045798439
multiple_choice,MC,12.0,8.784153004487356,1.3527221283567687,5.266996701558431,0.6608638349070926,2.9888900920875536,0.7424582904446639,11963.333333333334,996.2336649358499,9.855090005333333,0.8476830400172651,25.648703488000002,5.491586766183305,40290.0,8620.82844574169
