scenario,op_offload_min_batch,requests,mean_total_s,mean_ttft_s,mean_tokens_per_s,mean_major_faults,mean_read_bytes,moe_compute_backends,mean_moe_compute_events,mean_moe_mul_mat_id_events,mean_moe_trace_events,mean_moe_trace_demand_payload_mb,mean_moe_trace_payload_mb,mean_moe_trace_copied_mb,mean_moe_trace_ranges,mean_moe_trace_enqueue_ms,mean_cache_hit_rate_pct,mean_cache_hits,mean_cache_misses,mean_cache_bypasses,mean_cache_h2d_mb,mean_cache_d2d_mb,mean_rpp_hint_candidates,mean_rpp_hint_hit_rate_pct,mean_rpp_hint_h2d_mb,mean_runtime_total_h2d_mb,cache_statuses,max_cache_slots,max_cache_slot_mb
phase5-two-step-demand-only-runtime-cache-4096mb,1,1,5.417190074920654,3.0379416942596436,5.9071215071715395,7520.0,5662326784.0,"CPU,CUDA0",8160.0,4080.0,4077.0,25754.042368,9880.223744,9888.151552,15538.0,4843.07,61.583345695495225,24908.0,15538.0,0.0,9880.223744,25774.70464,0.0,0.0,0.0,9880.223744,gpu_lru_staging,7275,0.860672
phase5-two-step-real-rpp-top8-runtime-cache-4096mb,1,1,6.030073404312134,3.4556519985198975,5.306734736780592,7540.0,5589536768.0,"CPU,CUDA0",8160.0,4080.0,4077.0,25754.042368,10146.340864,10154.47808,15956.0,5289.358,60.54986896108392,24490.0,15956.0,0.0,10146.340864,25774.70464,32616.0,92.61712043168997,1531.838464,11678.179328,gpu_lru_staging,7275,0.860672
