scenario,task_type,requests,wall_s_avg,tok_s_avg,predicted_ms_avg
demand-cache-1g,code_generation,12,8.89814631666377,4.813185283552716,6771.46375
demand-cache-1g,commonsense,12,9.359983253001701,4.622113398826532,6965.607583333333
demand-cache-1g,math_reasoning,12,11.175574142169353,4.938494458214751,6574.517083333333
demand-cache-1g,multiple_choice,12,11.964862415166863,4.288666853030942,6259.158416666666
demand-cache-1g,text_continuation,12,7.271174250248198,6.049304463294729,5464.455916666667
online-rpp-top2,code_generation,12,9.93835038833034,4.329188186176476,7531.870916666667
online-rpp-top2,commonsense,12,10.56429264241524,3.979216454719659,8080.740916666667
online-rpp-top2,math_reasoning,12,12.558527042582378,4.368606255951364,7471.093166666667
online-rpp-top2,multiple_choice,12,13.033635046082054,3.8508084294844274,6956.223166666667
online-rpp-top2,text_continuation,12,9.038051759248143,4.97090532574832,6678.7965
online-rpp-top4,code_generation,12,9.844313990250763,4.233842965896462,7660.51025
online-rpp-top4,commonsense,12,9.902952131666098,4.155620409657993,7710.900333333334
online-rpp-top4,math_reasoning,12,12.333642094084402,4.246092277647907,7592.2283333333335
online-rpp-top4,multiple_choice,12,12.899427611082501,3.9602083947338937,6782.911083333333
online-rpp-top4,text_continuation,12,8.859394489662614,4.724426603250508,6824.536833333333
online-rpp-top8,code_generation,12,10.61385126174961,3.9313063486083917,8288.218583333333
online-rpp-top8,commonsense,12,10.985353101998044,3.7392614510983404,8568.184416666667
online-rpp-top8,math_reasoning,12,13.265935637415774,3.9839111051141796,8140.94
online-rpp-top8,multiple_choice,12,13.276986430503408,3.6325753521660484,7361.006416666667
online-rpp-top8,text_continuation,12,9.64765916908315,4.287616114783145,7581.639083333333
rpp-off-native,code_generation,12,5.1017206496665795,10.776017191428698,3028.0705
rpp-off-native,commonsense,12,5.07763766249991,10.493685759729368,3060.5124166666665
rpp-off-native,math_reasoning,12,7.505915524414983,10.171365352007573,3231.1649166666666
rpp-off-native,multiple_choice,12,8.450420256084422,9.325679372496348,2853.4041666666667
rpp-off-native,text_continuation,12,4.285042891499567,13.01635087793303,2545.91525
