cache_mb,cache_label,task_type,task_label,requests,total_s_mean,total_s_std,tok_s_mean,tok_s_std,major_faults_mean,demand_mb_mean,actual_h2d_mb_mean,h2d_reduction_pct,cache_hit_pct_mean,cache_hit_pct_std
0,0MB,text_continuation,Text,12,7.0519453684488935,0.434890401143494,4.553193273499847,0.2741351566603592,8497.083333333334,25448.515584,25448.515584,0.0,0.0,0.0
0,0MB,code_generation,Code,12,7.505119939645131,0.6777621367377111,4.291608358098772,0.33858803782252966,8791.75,25977.311232,25977.311232,0.0,0.0,0.0
0,0MB,commonsense,Commonsense,12,7.3082515001297,0.43991892584555786,4.392305231620123,0.24871656747327672,8936.833333333334,25668.33152,25668.33152,0.0,0.0,0.0
0,0MB,math_reasoning,Math,12,8.778774301211039,0.48686137172946753,3.6550985695393967,0.19597144892853208,11405.333333333334,28325.154816000002,28325.154816000002,0.0,0.0,0.0
0,0MB,multiple_choice,MC,12,8.123079776763916,1.1851312081274508,3.2362295323998076,0.8315630551452426,11028.25,25648.703488,25648.703488,0.0,0.0,0.0
2048,2GB,text_continuation,Text,12,6.425966600577037,0.5311436283848258,5.009967895941994,0.40019248993607986,8176.0,25448.515584,15035.928576,40.91628438456586,40.93655514898744,2.438869008222025
2048,2GB,code_generation,Code,12,6.635440667470296,0.4799758706448067,4.845013198915354,0.3389614652120621,8745.75,25977.311232,15493.746688,40.356619091070066,40.39137442201806,4.757985924197148
2048,2GB,commonsense,Commonsense,12,7.032848358154297,0.5823393597865293,4.57803156583979,0.36935950901029635,9543.083333333334,25668.33152,15713.867776,38.781109462622375,38.777928819320834,1.531655922767397
2048,2GB,math_reasoning,Math,12,8.250867346922556,0.6929084763023983,3.902475209854969,0.3136577294985047,11931.75,28325.154816000002,18862.090239999998,33.40869498321193,33.39339727488386,2.9188595039629175
2048,2GB,multiple_choice,MC,12,8.19313911596934,1.3772853847871411,3.2457189002815836,0.9307943116688252,12238.25,25648.703488,16969.480192,33.83883828693587,32.609450548713276,6.440011429382159
4096,4GB,text_continuation,Text,12,5.8133333921432495,0.40792981400282113,5.529183987324368,0.383317441665693,8151.583333333333,25448.515584,10702.688256000001,57.94376210010065,57.95464236830158,4.020736817307122
4096,4GB,code_generation,Code,12,6.583337287108104,0.3939831310230986,4.875859725901174,0.27580744029681287,8892.333333333334,25977.311232,11616.374784,55.282613045454696,55.297527657301885,2.616425603999873
4096,4GB,commonsense,Commonsense,12,6.518516043821971,0.42118202458853915,4.927500763051965,0.31148113063681343,9224.083333333334,25668.33152,11728.32256,54.30820055108902,54.314662532588606,1.0429011732038451
4096,4GB,math_reasoning,Math,12,8.47978138923645,0.7979710181264473,3.8045413416645926,0.3592691579028712,11770.25,28325.154816000002,15507.478528,45.25191961443294,45.21982456547003,2.3784818588795593
4096,4GB,multiple_choice,MC,12,7.672945598761241,1.027115391739196,3.4476980868320863,0.9676522980252136,11670.333333333334,25648.703488,14142.144511999999,44.862146663216166,43.143283422991374,8.725874222533832
