cache_mb,cache_label,source,requests,total_s_mean,total_s_std,ttft_s_mean,ttft_s_std,tok_s_mean,tok_s_std,major_faults_mean,major_faults_std,read_mb_mean,read_mb_std,demand_mb_mean,demand_mb_std,actual_h2d_mb_mean,actual_h2d_mb_std,h2d_reduction_pct,cache_hit_pct_mean,cache_hit_pct_std,d2d_mb_mean,d2d_mb_std,evictions_mean,enqueue_ms_mean,h2d_enqueue_ms_mean,d2d_enqueue_ms_mean
0,0MB,/home/hazcashi/lab/experience/RPP-GPU/results/phase4_runtime_cache_0mb_formal_20260625_231637.jsonl,60,7.753434177239736,0.926065307825741,3.856069739659627,0.9125991076659598,4.02568699303159,0.6603115583638086,9731.85,1497.4679739650019,7194.4966144,1536.4029502376688,26213.603328,2628.8823636945053,26213.603328,2628.8823636945053,0.0,0.0,0.0,0.0,0.0,0.0,7323.573533333333,0.0,0.0
2048,2GB,/home/hazcashi/lab/experience/RPP-GPU/results/phase4_runtime_cache_2048mb_formal_20260625_233533.jsonl,60,7.307652417818705,1.0989754581183222,3.929175289471944,1.0449019089614089,4.316241354166738,0.8325773011299478,10126.966666666667,2326.7890653865165,7062.666171733334,1468.574547414363,26213.603328,2628.8823636945053,16415.0226944,1921.8556265577747,37.37975474410903,37.221741242784695,5.266711296531024,26234.613734399998,2630.9887955684753,21796.75,6724.351183333333,6724.351183333333,162.50331666666668
4096,4GB,/home/hazcashi/lab/experience/RPP-GPU/results/phase4_runtime_cache_4096mb_formal_20260625_235359.jsonl,60,7.0135827422142025,1.1465630667952564,3.9580991506576537,1.0543226858899757,4.516956780954837,0.9289474995706036,9941.716666666667,1865.8728415233616,6990.274082133334,1516.6553865079318,26213.603328,2628.8823636945053,12739.401728,2034.8153297716956,51.401562125598964,51.185988109330694,7.408576971678688,26234.613734399998,2630.9887955684753,13537.55,6399.65655,6399.65655,155.09261666666666
