scenario,op_offload_min_batch,requests,mean_total_s,mean_ttft_s,mean_tokens_per_s,mean_major_faults,mean_read_bytes,moe_compute_backends,mean_moe_compute_events,mean_moe_mul_mat_id_events,mean_moe_trace_events,mean_moe_trace_demand_payload_mb,mean_moe_trace_payload_mb,mean_moe_trace_copied_mb,mean_moe_trace_ranges,mean_moe_trace_enqueue_ms,mean_cache_hit_rate_pct,mean_cache_hits,mean_cache_misses,mean_cache_bypasses,mean_cache_h2d_mb,mean_cache_d2d_mb,mean_rpp_hint_candidates,mean_rpp_hint_hit_rate_pct,mean_rpp_hint_h2d_mb,mean_runtime_total_h2d_mb,cache_statuses,max_cache_slots,max_cache_slot_mb
phase5-two-step-demand-only-runtime-cache-4096mb,1,1,5.851754188537598,3.108774185180664,5.46844569491342,7880.0,5903175680.0,"CPU,CUDA0",8160.0,4080.0,4077.0,25754.042368,9880.223744,9888.151552,15538.0,5280.259,61.583345695495225,24908.0,15538.0,0.0,9880.223744,25774.70464,0.0,0.0,0.0,9880.223744,gpu_lru_staging,7275,0.860672
phase5-two-step-real-rpp-top2-runtime-cache-4096mb,1,1,5.377448081970215,2.8579092025756836,5.950778047916678,7551.0,5197746176.0,"CPU,CUDA0",8160.0,4080.0,4077.0,25754.042368,9862.070272,9869.981696,15509.0,4808.487,61.65504623448549,24937.0,15509.0,0.0,9862.070272,25774.70464,8154.0,92.93598233995584,366.575616,10228.645888,gpu_lru_staging,7275,0.860672
