scenario,requests,top_k,cache_mib,wall_s_avg,tok_s_avg,prediction_coverage_pct,rpp_hit_rate_pct,ready_hit_rate_pct,on_demand_h2d_gb,prefetch_h2d_gb,total_h2d_gb,total_h2d_gb_per_request,loaded_on_demand,ready_hits,evictions,sidecar_requests,sidecar_inference_ms_avg
rpp-off-native,60,0,0,6.084147396833092,10.756619710719004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
demand-cache-1g,60,2,1024,9.733948075449977,4.942352891383934,0.0,0.0,36.65295138888889,697.562537984,0.0,697.562537984,11.626042299733333,364879,211121,364491,0,0.0
online-rpp-top2,60,2,1024,11.026571375731631,4.2997449304160495,100.0,8.561458333333333,36.58003472222222,697.050447872,276.941574144,973.992022016,16.233200366933332,364579,210701,364274,1801,4.375290259444049
online-rpp-top4,60,4,1024,10.767946063349276,4.264038130237353,100.0,16.202083333333334,17.2109375,894.188265472,553.82962176,1448.017887232,24.133631453866666,467780,99135,467536,1801,4.4190723783241435
online-rpp-top8,60,8,1024,11.557957120149998,3.914934074354021,100.0,27.38125,1.2315972222222222,799.752536064,1107.472896,1907.225432064,31.7870905344,418284,7094,418112,1801,4.805309855196429
